,car_name,registration_year,fuel_type,seats,kms_driven,ownsership,transmission,mileage(kmpl),price(in lakhs)
0,2017 Mercedes-Benz S-Class S400,17-Jul,Petrol,5,56000,First Owner,Automatic,7.81,63.75
1,2020 Nissan Magnite Turbo CVT XV Premium Opt BSVI,21-Jan,Petrol,5,30615,First Owner,Automatic,17.4,8.99
2,2018 BMW X1 sDrive 20d xLine,18-Sep,Diesel,5,24000,First Owner,Automatic,20.68,23.75
3,2019 Kia Seltos GTX Plus,19-Dec,Petrol,5,18378,First Owner,Manual,16.5,13.56
4,2019 Skoda Superb LK 1.8 TSI AT,19-Aug,Petrol,5,44900,First Owner,Automatic,14.67,24
5,2017 Honda Jazz 1.2 S i VTEC,17-Jul,Petrol,5,42000,First Owner,Manual,18.7,5.45
6,2018 Hyundai Grand i10 1.2 Kappa Sportz BSIV,19-Feb,Petrol,5,36739,First Owner,Manual,18.9,5.12
7,2018 Hyundai Creta 1.6 SX,18-Jul,Petrol,5,76000,First Owner,Manual,15.8,9.3
8,2015 Mercedes-Benz S-Class S 350 CDI,15-Apr,Diesel,5,68000,Second Owner,Automatic,13.5,42
9,2019 Tata Nexon 1.2 Revotron XZ Plus,19-Mar,Petrol,5,28783,First Owner,Manual,17,8.02
10,2020 Honda City VX CVT,20-Mar,Petrol,5,40000,First Owner,Automatic,17.4,10.95
11,2021 Renault Duster RXS,22-Feb,Petrol,5,17382,First Owner,Manual,16.42,8.99
12,2014 BMW 3 Series 320d Prestige,2014,Diesel,5,120000,First Owner,Automatic,18.88,7.45
13,2021 Hyundai Venue SX Plus Turbo DCT,22-Jan,Petrol,5,17000,First Owner,Automatic,18.15,10.95
14,2019 Hyundai Grand i10 1.2 Kappa Sportz BSIV,19-Apr,Petrol,5,26867,First Owner,Manual,18.9,5.78
15,2022 Hyundai i20 Asta Opt,22-Aug,Petrol,5,30000,First Owner,Manual,21,8.95
16,2014 BMW 3 Series 320d Luxury Line,2014,Diesel,5,150000,First Owner,Automatic,18.88,8.5
17,2018 BMW 3 Series 320d Luxury Line,18-Mar,Diesel,5,53000,First Owner,Automatic,22.69,23.5
18,2019 Ford Ecosport 1.5 Petrol Titanium Plus BSIV,19-Nov,Petrol,5,40000,First Owner,Manual,17,7.95
19,2020 Jeep Compass 1.4 Limited Plus,20-Nov,Petrol,5,48000,First Owner,Automatic,14.1,18.95
20,2021 MG Gloster Savvy 6-Str,21-Sep,Diesel,6,35000,First Owner,Automatic,12.4,35
21,2010 Maruti Swift 1.2 VXi BSII,10-Oct,Petrol,5,100525,First Owner,Manual,16.1,2.09
22,2015 Honda City i VTEC CVT VX,15-Sep,Petrol,5,83000,Second Owner,Automatic,18,6.25
23,2011 Maruti Wagon R LXI BSIII,11-Aug,Petrol,5,40191,Second Owner,Manual,998,2.12
24,2015 Audi A6 35 TDI,15-Dec,Diesel,5,62152,First Owner,Automatic,18.53,20
25,2017 Hyundai Creta 1.6 VTVT S,17-Aug,Petrol,5,49000,First Owner,Manual,15.29,8.35
26,2017 Maruti Baleno 1.2 Delta,17-Aug,Petrol,5,56215,First Owner,Manual,21.4,5.03
27,2018 Toyota Yaris J,18-Sep,Petrol,5,53000,First Owner,Manual,17.1,6.95
28,2015 Toyota Fortuner 4x2 AT,15-Sep,Diesel,7,100000,First Owner,Automatic,12.55,16
29,2020 Hyundai Creta SX Turbo BSVI,20-Aug,Petrol,5,36346,First Owner,Automatic,16.8,15.22
30,2018 Jaguar XE 2.0L Diesel Portfolio,18-Jul,Diesel,5,48000,First Owner,Automatic,13.5,26.95
31,2019 Hyundai i20 Sportz Plus BSIV,19-Nov,Petrol,5,42098,First Owner,Manual,18.6,6.7
32,2018 Jeep Compass 2.0 Longitude Option BSIV,2018,Diesel,5,40000,First Owner,Manual,17.1,10.75
33,2019 BMW X1 sDrive 20d xLine,19-Oct,Diesel,5,64000,First Owner,Automatic,20.68,25.5
34,2022 Maruti Swift ZXI Plus DT AMT BSVI,22-Dec,Petrol,5,13158,First Owner,Automatic,22.56,8.38
35,2018 Hyundai Creta 1.6 SX Automatic Diesel,18-Jun,Diesel,5,65400,First Owner,Automatic,17.6,10.9
36,2017 Honda Amaze S i-VTEC,2017,Petrol,5,100000,First Owner,Manual,17.8,3.95
37,2022 Tata Tiago XZ Plus CNG BSVI,22-Aug,CNG,5,30000,First Owner,Manual,26.49,7.25
38,2017 Honda Jazz 1.5 E i DTEC,17-Jun,Diesel,5,62000,First Owner,Manual,1498,4.75
39,2010 Volkswagen Beetle 2.0,10-May,Petrol,4,40000,First Owner,Automatic,10.98,11.95
40,2021 MG Gloster Savvy 6-Str,21-Sep,Diesel,6,35000,First Owner,Automatic,12.4,35
41,2010 Maruti Swift 1.2 VXi BSII,10-Oct,Petrol,5,100525,First Owner,Manual,16.1,2.09
42,2015 Honda City i VTEC CVT VX,15-Sep,Petrol,5,83000,Second Owner,Automatic,18,6.25
